src_ip,dst_ip,duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,logged_in,num_failed_logins,root_shell,num_compromised,label
10.10.5.26,10.0.0.8,45,udp,http,SF,3899,1908,3,7,0.0,0.9,0.07,46,91,1,0,0,0,Normal
192.168.1.201,10.0.0.15,3,tcp,telnet,REJ,48,0,167,3,0.19,0.24,0.76,140,7,0,0,0,0,Probe
192.168.1.201,10.0.0.60,1,icmp,eco_i,RSTO,44,0,92,1,0.53,0.19,0.73,244,3,0,0,0,0,Probe
192.168.1.202,10.0.0.8,2,tcp,private,REJ,5,0,116,4,0.18,0.17,0.66,202,6,0,0,0,0,Probe
172.16.0.99,10.0.0.60,4,tcp,ssh,REJ,26,0,67,1,0.23,0.12,0.84,212,7,0,0,0,0,Probe
192.168.1.201,10.0.0.1,0,udp,finger,RSTO,100,0,122,1,0.44,0.03,0.81,255,4,0,0,0,0,Probe
192.168.1.205,10.0.0.50,1,udp,other,REJ,78,0,45,2,0.17,0.09,0.68,193,6,0,0,0,0,Probe
198.51.100.89,10.0.0.60,4,udp,telnet,RSTO,64,0,179,3,0.29,0.08,0.81,247,8,0,0,0,0,Probe
203.0.113.44,10.0.0.50,2,icmp,ssh,SH,46,0,99,3,0.57,0.01,0.68,206,2,0,0,0,0,Probe
192.168.1.201,10.0.0.1,4,icmp,domain,REJ,101,0,65,4,0.4,0.2,0.9,148,2,0,0,0,0,Probe
172.16.0.99,10.0.0.8,4,tcp,telnet,REJ,120,0,91,3,0.55,0.08,0.92,199,3,0,0,0,0,Probe
192.168.1.22,10.0.0.50,5,tcp,smtp,SF,3325,3288,1,12,0.0,0.92,0.06,26,85,1,0,0,0,Normal
192.168.1.202,10.0.0.15,0,icmp,private,REJ,87,0,103,4,0.31,0.04,0.66,170,2,0,0,0,0,Probe
203.0.113.44,10.0.0.1,1,tcp,private,RSTR,76,0,140,4,0.46,0.2,0.67,125,2,0,0,0,0,Probe
192.168.1.201,10.0.0.5,3,tcp,ssh,REJ,110,0,140,2,0.47,0.06,0.96,143,3,0,0,0,0,Probe
192.168.1.201,10.0.0.50,2,udp,eco_i,RSTO,40,0,140,4,0.55,0.16,0.94,151,3,0,0,0,0,Probe
192.168.1.201,10.0.0.60,3,udp,domain,RSTO,53,0,60,4,0.54,0.21,0.9,189,3,0,0,0,0,Probe
192.168.1.202,10.0.0.5,0,udp,eco_i,RSTR,66,0,36,2,0.39,0.13,0.82,185,1,0,0,0,0,Probe
192.168.1.201,10.0.0.50,4,icmp,ssh,SH,68,0,123,2,0.17,0.22,0.83,182,5,0,0,0,0,Probe
192.168.1.47,10.0.0.12,5,icmp,smtp,SF,3039,10547,11,15,0.0,0.9,0.04,51,78,1,0,0,0,Normal
192.168.1.201,10.0.0.60,4,tcp,telnet,RSTR,53,0,70,3,0.21,0.17,0.84,221,3,0,0,0,0,Probe
203.0.113.44,10.0.0.5,4,icmp,other,RSTR,83,0,68,2,0.49,0.15,0.67,231,1,0,0,0,0,Probe
172.16.0.99,10.0.0.12,2,udp,telnet,SH,27,0,144,4,0.59,0.09,0.99,194,3,0,0,0,0,Probe
192.168.1.26,10.0.0.22,28,tcp,ssl,SF,282,1410,12,11,0.0,0.96,0.06,11,66,1,0,0,0,Normal
172.16.1.38,10.0.0.12,33,tcp,smtp,SF,2276,17130,11,4,0.0,0.92,0.02,43,99,1,0,0,0,Normal
10.10.5.15,10.0.0.15,30,icmp,http,SF,1350,7884,7,8,0.0,0.88,0.1,5,82,1,0,0,0,Normal
203.0.113.44,10.0.0.60,3,icmp,other,RSTR,67,0,168,2,0.24,0.18,0.67,139,1,0,0,0,0,Probe
192.168.1.205,10.0.0.50,0,udp,eco_i,SH,33,0,48,3,0.55,0.0,0.75,221,4,0,0,0,0,Probe
198.51.100.89,10.0.0.15,1,tcp,ssh,SH,45,0,105,3,0.3,0.24,0.67,190,1,0,0,0,0,Probe
172.16.1.28,10.0.0.12,29,udp,http,SF,3801,11885,4,6,0.0,0.85,0.09,51,83,1,0,0,0,Normal
172.16.0.99,10.0.0.5,2,tcp,finger,RSTR,1,0,179,2,0.21,0.03,0.95,137,5,0,0,0,0,Probe
