src_ip,dst_ip,duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,logged_in,num_failed_logins,root_shell,num_compromised,label
198.51.100.14,10.0.0.12,159,tcp,ftp,SF,301,389,3,2,0.0,1.0,0.0,14,10,0,3,0,1,R2L
198.51.100.14,10.0.0.22,154,tcp,imap,SF,718,427,1,5,0.0,1.0,0.0,12,2,0,3,0,2,R2L
198.51.100.77,10.0.0.22,72,tcp,ftp,SF,412,408,4,3,0.0,1.0,0.0,7,3,0,7,0,0,R2L
10.10.5.29,10.0.0.15,21,tcp,ftp_data,SF,4716,6637,10,10,0.0,0.97,0.04,13,67,1,0,0,0,Normal
192.168.1.11,10.0.0.8,42,tcp,ftp_data,SF,1312,15720,5,10,0.0,0.97,0.03,18,28,1,0,0,0,Normal
172.16.0.88,10.0.0.22,148,tcp,telnet,SF,496,312,1,2,0.0,1.0,0.0,10,14,0,8,0,2,R2L
172.16.0.45,10.0.0.12,145,tcp,ftp,SF,476,281,1,4,0.0,1.0,0.0,1,15,0,7,0,1,R2L
172.16.0.45,10.0.0.22,21,tcp,imap,SF,212,124,2,5,0.0,1.0,0.0,6,1,1,8,0,1,R2L
198.51.100.77,10.0.0.22,114,tcp,imap,SF,432,469,4,5,0.0,1.0,0.0,2,4,0,8,0,2,R2L
172.16.0.70,10.0.0.12,155,tcp,imap,SF,309,368,7,3,0.0,1.0,0.0,15,1,0,6,0,2,R2L
172.16.0.45,10.0.0.22,54,tcp,imap,SF,526,480,8,6,0.0,1.0,0.0,10,10,1,3,0,2,R2L
172.16.0.88,10.0.0.12,17,tcp,ftp,SF,269,276,12,5,0.0,1.0,0.0,2,14,0,7,0,0,R2L
192.168.1.31,10.0.0.60,43,tcp,http,SF,5655,1145,12,13,0.0,0.89,0.07,51,61,1,0,0,0,Normal
203.0.113.102,10.0.0.15,46,tcp,imap,SF,355,518,4,4,0.0,1.0,0.0,11,4,0,5,0,1,R2L
198.51.100.77,10.0.0.22,124,tcp,ssh,SF,897,210,9,1,0.0,1.0,0.0,10,10,0,3,0,0,R2L
198.51.100.14,10.0.0.12,95,tcp,smtp,SF,679,476,12,3,0.0,1.0,0.0,13,15,0,6,0,1,R2L
203.0.113.102,10.0.0.15,159,tcp,imap,SF,560,350,2,3,0.0,1.0,0.0,14,4,1,8,0,2,R2L
10.10.5.33,10.0.0.60,5,udp,private,SF,3780,6307,6,14,0.0,0.91,0.04,42,73,0,0,0,0,Normal
192.168.1.28,10.0.0.1,42,tcp,http,SF,1862,8891,3,9,0.0,0.96,0.07,5,34,1,0,0,0,Normal
172.16.0.88,10.0.0.15,114,tcp,ssh,SF,432,100,7,1,0.0,1.0,0.0,14,10,0,8,0,0,R2L
172.16.1.41,10.0.0.1,14,icmp,private,SF,5716,2839,13,12,0.0,0.88,0.04,17,80,0,0,0,0,Normal
172.16.1.33,10.0.0.60,11,tcp,http,SF,2199,10708,2,12,0.0,0.89,0.04,33,56,1,0,0,0,Normal
192.168.1.14,10.0.0.8,19,tcp,ssl,SF,5825,12925,11,12,0.0,0.86,0.05,54,77,1,0,0,0,Normal
172.16.0.88,10.0.0.12,174,tcp,imap,SF,920,114,9,1,0.0,1.0,0.0,2,2,0,3,0,0,R2L
198.51.100.14,10.0.0.22,125,tcp,imap,SF,161,72,5,2,0.0,1.0,0.0,13,3,0,6,0,0,R2L
203.0.113.102,10.0.0.12,102,tcp,telnet,SF,861,147,6,1,0.0,1.0,0.0,11,8,0,6,0,1,R2L
198.51.100.77,10.0.0.22,137,tcp,imap,SF,191,388,7,1,0.0,1.0,0.0,9,4,0,5,0,2,R2L
192.168.1.41,10.0.0.60,42,tcp,http,SF,5311,15157,1,15,0.0,0.99,0.09,26,78,1,0,0,0,Normal
172.16.0.88,10.0.0.15,67,tcp,telnet,SF,363,233,7,4,0.0,1.0,0.0,12,5,0,4,0,1,R2L
172.16.0.88,10.0.0.22,28,tcp,ssh,SF,554,382,10,6,0.0,1.0,0.0,2,11,1,6,0,1,R2L
172.16.0.45,10.0.0.12,82,tcp,ftp,SF,751,289,11,2,0.0,1.0,0.0,15,2,0,3,0,0,R2L
198.51.100.14,10.0.0.22,117,tcp,imap,SF,327,77,8,6,0.0,1.0,0.0,3,3,0,3,0,1,R2L
172.16.0.70,10.0.0.15,38,tcp,smtp,SF,430,321,8,4,0.0,1.0,0.0,14,9,0,8,0,0,R2L
198.51.100.77,10.0.0.15,109,tcp,ftp,SF,507,308,3,1,0.0,1.0,0.0,6,10,0,4,0,2,R2L
