src_ip,dst_ip,duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,logged_in,num_failed_logins,root_shell,num_compromised,label
172.16.1.45,10.0.0.5,15,udp,api,SF,5785,4134,11,13,0.0,0.89,0.08,51,95,1,0,0,0,Normal
10.10.5.20,10.0.0.5,1,tcp,http,SF,5709,5457,3,1,0.0,0.99,0.09,33,80,1,0,0,0,Normal
192.168.1.55,10.0.0.5,21,tcp,http,SF,5278,14164,5,3,0.0,0.91,0.09,52,43,1,0,0,0,Normal
198.51.100.18,10.0.0.5,0,tcp,private,S0,27,0,486,344,0.93,0.99,0.03,255,12,0,0,0,0,DoS
192.168.1.111,10.0.0.5,0,tcp,api,RSTO,18,0,255,468,0.99,0.93,0.02,255,11,0,0,0,0,DoS
172.16.1.22,10.0.0.5,37,udp,ssl,SF,4021,1792,9,7,0.0,0.92,0.02,43,32,1,0,0,0,Normal
192.168.1.103,10.0.0.5,0,tcp,api,S0,10,0,221,264,0.92,0.93,0.04,255,12,0,0,0,0,DoS
198.51.100.15,10.0.0.5,0,icmp,private,REJ,0,0,416,359,0.92,0.99,0.03,255,6,0,0,0,0,DoS
10.10.5.39,10.0.0.5,41,udp,smtp,SF,2721,8977,15,14,0.0,0.98,0.05,42,19,1,0,0,0,Normal
198.51.100.18,10.0.0.5,0,tcp,api,S0,51,0,246,447,0.93,0.98,0.04,255,11,0,0,0,0,DoS
198.51.100.15,10.0.0.5,0,tcp,api,S0,60,0,187,469,0.89,0.93,0.01,255,1,0,0,0,0,DoS
192.168.1.100,10.0.0.5,0,icmp,private,REJ,11,0,357,415,0.91,1.0,0.04,255,7,0,0,0,0,DoS
10.10.5.34,10.0.0.5,19,udp,ssl,SF,1943,8029,9,4,0.0,0.95,0.09,59,51,1,0,0,0,Normal
192.168.1.131,10.0.0.5,0,tcp,api,RSTO,56,0,429,155,0.99,0.93,0.02,255,2,0,0,0,0,DoS
192.168.1.100,10.0.0.5,0,icmp,http,S0,40,0,236,490,0.95,0.98,0.01,255,10,0,0,0,0,DoS
192.168.1.50,10.0.0.5,3,udp,smtp,SF,4139,15882,6,13,0.0,0.88,0.03,12,65,1,0,0,0,Normal
192.168.1.109,10.0.0.5,0,tcp,http,REJ,25,0,271,204,0.95,0.99,0.04,255,5,0,0,0,0,DoS
198.51.100.26,10.0.0.5,0,tcp,private,S0,59,0,398,432,0.91,0.94,0.02,255,4,0,0,0,0,DoS
198.51.100.32,10.0.0.5,0,tcp,eco_i,RSTO,46,0,496,154,0.96,0.96,0.02,255,4,0,0,0,0,DoS
192.168.1.135,10.0.0.5,0,icmp,private,RSTO,0,0,353,392,0.98,0.95,0.01,255,2,0,0,0,0,DoS
10.10.5.22,10.0.0.5,15,udp,ssl,SF,4182,17720,7,6,0.0,0.88,0.08,25,56,1,0,0,0,Normal
192.168.1.101,10.0.0.5,0,icmp,http,REJ,39,0,278,225,0.95,0.96,0.01,255,5,0,0,0,0,DoS
