src_ip,dst_ip,duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,logged_in,num_failed_logins,root_shell,num_compromised,label
10.0.0.104,10.0.0.1,195,tcp,telnet,SF,4075,8376,4,2,0.0,1.0,0.0,1,4,1,0,1,5,U2R
10.0.0.104,10.0.0.1,38,tcp,telnet,SF,2417,17475,4,1,0.0,1.0,0.0,3,4,1,0,1,10,U2R
10.10.5.11,10.0.0.1,45,icmp,http,SF,3400,17411,4,2,0.0,0.86,0.06,56,16,1,0,0,0,Normal
192.168.1.55,10.0.0.1,42,tcp,telnet,SF,4884,9529,4,1,0.0,1.0,0.0,3,6,1,0,1,11,U2R
192.168.1.38,10.0.0.1,14,tcp,http,SF,2999,10525,1,4,0.0,0.92,0.07,5,35,1,0,0,0,Normal
10.0.0.88,10.0.0.1,297,tcp,telnet,SF,5837,6769,5,2,0.0,1.0,0.0,2,4,1,0,1,9,U2R
10.0.0.104,10.0.0.1,107,tcp,telnet,SF,2378,22471,2,2,0.0,1.0,0.0,1,6,1,0,1,12,U2R
192.168.1.55,10.0.0.1,209,tcp,telnet,SF,6838,22066,5,3,0.0,1.0,0.0,6,2,1,0,1,10,U2R
10.0.0.88,10.0.0.1,203,tcp,telnet,SF,3186,15727,3,3,0.0,1.0,0.0,3,3,1,0,1,10,U2R
10.0.0.92,10.0.0.1,70,tcp,private,SF,9434,7716,1,3,0.0,1.0,0.0,2,5,1,0,1,8,U2R
192.168.1.35,10.0.0.1,24,icmp,http,SF,1677,2630,8,2,0.0,0.92,0.01,26,37,1,0,0,0,Normal
192.168.1.31,10.0.0.1,3,udp,ftp_data,SF,3241,16927,1,2,0.0,0.93,0.09,36,83,1,0,0,0,Normal
192.168.1.42,10.0.0.1,26,tcp,ssl,SF,1856,10947,4,9,0.0,0.85,0.05,28,88,1,0,0,0,Normal
192.168.1.55,10.0.0.1,98,tcp,ssh,SF,9140,12023,1,2,0.0,1.0,0.0,1,4,1,0,1,8,U2R
10.0.0.104,10.0.0.1,134,tcp,ssh,SF,6626,7203,2,3,0.0,1.0,0.0,5,5,1,0,1,3,U2R
10.10.5.13,10.0.0.1,4,tcp,http,SF,1923,2698,12,7,0.0,0.97,0.07,25,27,1,0,0,0,Normal
172.16.1.17,10.0.0.1,29,tcp,private,SF,3137,7850,9,13,0.0,0.97,0.01,43,92,0,0,0,0,Normal
10.0.0.104,10.0.0.1,35,tcp,telnet,SF,7955,17662,2,3,0.0,1.0,0.0,2,2,1,0,1,12,U2R
192.168.1.19,10.0.0.1,31,tcp,private,SF,759,4910,10,6,0.0,0.9,0.04,16,43,0,0,0,0,Normal
172.16.1.37,10.0.0.1,17,udp,ftp_data,SF,5749,5320,14,2,0.0,0.92,0.09,17,32,1,0,0,0,Normal
172.16.1.48,10.0.0.1,41,tcp,ssl,SF,4582,8853,10,3,0.0,0.85,0.05,29,97,1,0,0,0,Normal
172.16.1.12,10.0.0.1,22,tcp,http,SF,4372,16697,10,14,0.0,0.93,0.03,49,80,1,0,0,0,Normal
192.168.1.25,10.0.0.1,25,tcp,http,SF,645,1798,6,14,0.0,0.93,0.09,37,50,1,0,0,0,Normal
192.168.1.25,10.0.0.1,30,tcp,http,SF,804,10333,1,3,0.0,1.0,0.01,53,64,1,0,0,0,Normal
172.16.1.20,10.0.0.1,1,tcp,ssl,SF,5861,7555,12,6,0.0,0.92,0.0,56,60,1,0,0,0,Normal
172.16.1.25,10.0.0.1,11,tcp,http,SF,3029,16992,9,2,0.0,0.92,0.05,15,47,1,0,0,0,Normal
10.10.5.35,10.0.0.1,35,icmp,http,SF,2641,5455,14,8,0.0,0.89,0.06,12,92,1,0,0,0,Normal
10.10.5.13,10.0.0.1,11,tcp,http,SF,1773,10131,3,7,0.0,0.91,0.02,41,65,1,0,0,0,Normal
192.168.1.56,10.0.0.1,13,udp,api,SF,2654,3960,13,10,0.0,0.92,0.09,19,62,1,0,0,0,Normal
192.168.1.20,10.0.0.1,36,tcp,http,SF,1228,2542,5,14,0.0,0.96,0.08,18,22,1,0,0,0,Normal
10.0.0.104,10.0.0.1,119,tcp,ssh,SF,4683,5310,4,2,0.0,1.0,0.0,1,5,1,0,1,11,U2R
172.16.1.22,10.0.0.1,29,icmp,smtp,SF,5552,3650,4,4,0.0,0.97,0.04,27,99,1,0,0,0,Normal
172.16.1.25,10.0.0.1,31,tcp,http,SF,5049,8077,10,5,0.0,0.87,0.0,37,99,1,0,0,0,Normal
10.0.0.104,10.0.0.1,73,tcp,ssh,SF,4271,17272,1,3,0.0,1.0,0.0,4,6,1,0,1,10,U2R
192.168.1.37,10.0.0.1,6,icmp,http,SF,3473,9024,12,3,0.0,0.93,0.02,27,83,1,0,0,0,Normal
192.168.1.14,10.0.0.1,19,tcp,ftp_data,SF,5537,723,4,4,0.0,0.95,0.08,11,67,1,0,0,0,Normal
10.0.0.92,10.0.0.1,318,tcp,ssh,SF,6723,16752,5,2,0.0,1.0,0.0,3,6,1,0,1,9,U2R
10.0.0.88,10.0.0.1,365,tcp,private,SF,5064,9197,4,3,0.0,1.0,0.0,1,3,1,0,1,10,U2R
172.16.1.47,10.0.0.1,44,tcp,ssl,SF,3260,16044,2,3,0.0,0.9,0.02,47,37,1,0,0,0,Normal
192.168.1.47,10.0.0.1,10,udp,http,SF,5689,10644,3,14,0.0,0.9,0.04,19,51,1,0,0,0,Normal
172.16.1.23,10.0.0.1,19,udp,private,SF,4908,11464,4,12,0.0,0.95,0.01,30,22,0,0,0,0,Normal
172.16.1.44,10.0.0.1,1,udp,http,SF,3188,10933,15,5,0.0,0.88,0.07,21,100,1,0,0,0,Normal
10.0.0.104,10.0.0.1,87,tcp,telnet,SF,7759,18959,3,1,0.0,1.0,0.0,3,3,1,0,1,11,U2R
192.168.1.55,10.0.0.1,296,tcp,telnet,SF,8986,11879,4,2,0.0,1.0,0.0,3,4,1,0,1,12,U2R
