src_ip,dst_ip,duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,logged_in,num_failed_logins,root_shell,num_compromised,label
192.168.1.57,10.0.0.60,45,udp,http,SF,2160,9960,10,4,0.0,0.99,0.09,51,30,1,0,0,0,Normal
192.168.1.44,10.0.0.1,2,tcp,http,SF,982,11989,5,6,0.0,0.92,0.06,56,57,1,0,0,0,Normal
10.10.5.10,10.0.0.1,9,tcp,ftp_data,SF,5042,7914,12,3,0.0,0.96,0.08,12,60,1,0,0,0,Normal
172.16.1.30,10.0.0.5,40,tcp,api,SF,5610,11719,10,8,0.0,0.99,0.03,20,21,1,0,0,0,Normal
203.0.113.44,10.0.0.50,0,icmp,domain,SH,101,0,63,3,0.4,0.23,0.9,198,1,0,0,0,0,Probe
10.0.0.92,10.0.0.1,161,tcp,private,SF,8461,22853,4,3,0.0,1.0,0.0,2,6,1,0,1,6,U2R
192.168.1.39,10.0.0.60,31,tcp,domain,SF,781,12933,7,4,0.0,0.86,0.05,18,94,0,0,0,0,Normal
172.16.1.14,10.0.0.12,17,icmp,ftp_data,SF,4773,1332,3,1,0.0,0.96,0.09,7,45,1,0,0,0,Normal
198.51.100.18,10.0.0.5,0,icmp,private,RSTO,29,0,357,151,0.96,1.0,0.02,255,7,0,0,0,0,DoS
192.168.1.205,10.0.0.22,0,tcp,private,REJ,49,0,146,4,0.57,0.24,0.68,250,5,0,0,0,0,Probe
198.51.100.11,10.0.0.5,0,tcp,http,S0,24,0,189,422,0.89,0.93,0.01,255,12,0,0,0,0,DoS
10.10.5.25,10.0.0.22,43,icmp,ftp_data,SF,3106,15856,5,1,0.0,0.97,0.04,44,75,1,0,0,0,Normal
172.16.1.31,10.0.0.12,9,tcp,http,SF,3755,15261,2,2,0.0,0.95,0.05,17,99,1,0,0,0,Normal
192.168.1.202,10.0.0.1,3,udp,ssh,RSTR,115,0,57,4,0.28,0.24,0.75,175,8,0,0,0,0,Probe
10.10.5.25,10.0.0.1,26,tcp,ssl,SF,2017,6587,8,7,0.0,0.9,0.01,55,45,1,0,0,0,Normal
192.168.1.205,10.0.0.8,2,tcp,telnet,RSTR,91,0,160,3,0.58,0.09,0.96,253,3,0,0,0,0,Probe
192.168.1.119,10.0.0.5,0,tcp,http,S0,57,0,221,230,0.89,0.96,0.0,255,1,0,0,0,0,DoS
192.168.1.114,10.0.0.5,0,icmp,http,RSTO,57,0,202,273,0.92,1.0,0.04,255,2,0,0,0,0,DoS
192.168.1.134,10.0.0.5,0,icmp,api,REJ,6,0,298,202,0.89,0.94,0.03,255,9,0,0,0,0,DoS
192.168.1.205,10.0.0.60,0,icmp,eco_i,RSTR,18,0,112,2,0.37,0.24,0.77,164,2,0,0,0,0,Probe
172.16.1.22,10.0.0.60,29,icmp,api,SF,4558,1062,5,8,0.0,0.96,0.08,32,58,1,0,0,0,Normal
172.16.1.39,10.0.0.8,7,icmp,private,SF,5708,16076,2,11,0.0,0.86,0.04,21,87,0,0,0,0,Normal
198.51.100.16,10.0.0.5,0,icmp,http,REJ,23,0,248,183,0.95,0.93,0.0,255,5,0,0,0,0,DoS
198.51.100.27,10.0.0.5,0,tcp,api,REJ,7,0,403,484,0.98,0.92,0.01,255,4,0,0,0,0,DoS
198.51.100.89,10.0.0.5,0,icmp,ssh,SH,97,0,179,1,0.33,0.21,0.88,172,4,0,0,0,0,Probe
192.168.1.11,10.0.0.5,31,icmp,http,SF,5237,16913,12,11,0.0,0.98,0.04,10,58,1,0,0,0,Normal
172.16.1.17,10.0.0.5,9,tcp,ssl,SF,2909,6478,15,4,0.0,0.9,0.02,37,57,1,0,0,0,Normal
172.16.1.42,10.0.0.22,20,icmp,private,SF,3753,14145,9,10,0.0,0.87,0.09,21,15,0,0,0,0,Normal
172.16.1.14,10.0.0.60,21,tcp,private,SF,5127,13051,12,13,0.0,0.93,0.03,44,62,0,0,0,0,Normal
198.51.100.77,10.0.0.12,16,tcp,telnet,SF,199,167,10,5,0.0,1.0,0.0,5,13,0,8,0,0,R2L
192.168.1.50,10.0.0.12,16,icmp,private,SF,4984,8121,14,2,0.0,0.88,0.01,5,33,0,0,0,0,Normal
192.168.1.137,10.0.0.5,0,tcp,api,REJ,17,0,511,365,0.93,0.96,0.02,255,8,0,0,0,0,DoS
192.168.1.10,10.0.0.22,6,tcp,ftp_data,SF,198,16174,1,1,0.0,0.92,0.05,48,67,1,0,0,0,Normal
192.168.1.54,10.0.0.60,7,tcp,api,SF,3172,14165,10,12,0.0,0.92,0.04,45,81,1,0,0,0,Normal
172.16.1.44,10.0.0.12,45,tcp,domain,SF,3343,849,1,13,0.0,0.87,0.08,47,77,0,0,0,0,Normal
10.10.5.30,10.0.0.50,9,tcp,private,SF,1034,13051,9,6,0.0,0.93,0.03,33,33,0,0,0,0,Normal
172.16.0.99,10.0.0.5,2,udp,private,REJ,72,0,39,4,0.43,0.02,0.83,148,8,0,0,0,0,Probe
172.16.1.32,10.0.0.50,11,udp,ssl,SF,1744,4728,2,13,0.0,0.99,0.0,44,66,1,0,0,0,Normal
192.168.1.18,10.0.0.15,11,icmp,api,SF,2613,9269,2,1,0.0,0.9,0.01,24,31,1,0,0,0,Normal
172.16.1.38,10.0.0.22,4,tcp,http,SF,3604,725,1,12,0.0,0.87,0.07,57,20,1,0,0,0,Normal
10.10.5.19,10.0.0.1,12,icmp,api,SF,4519,8254,2,11,0.0,0.92,0.03,43,42,1,0,0,0,Normal
172.16.1.14,10.0.0.1,33,tcp,ftp_data,SF,1979,8377,10,14,0.0,0.88,0.07,32,18,1,0,0,0,Normal
192.168.1.202,10.0.0.8,1,icmp,finger,RSTR,70,0,115,4,0.46,0.06,0.86,131,1,0,0,0,0,Probe
172.16.1.45,10.0.0.5,36,udp,ssl,SF,211,5412,7,14,0.0,0.9,0.01,45,72,1,0,0,0,Normal
10.10.5.26,10.0.0.8,41,tcp,api,SF,5955,8719,3,9,0.0,0.87,0.01,49,39,1,0,0,0,Normal
192.168.1.15,10.0.0.15,33,tcp,smtp,SF,919,2530,5,15,0.0,0.89,0.07,25,28,1,0,0,0,Normal
192.168.1.123,10.0.0.5,0,icmp,http,REJ,22,0,291,186,0.9,0.95,0.04,255,15,0,0,0,0,DoS
192.168.1.20,10.0.0.60,32,udp,api,SF,3606,4679,9,13,0.0,0.97,0.01,53,29,1,0,0,0,Normal
172.16.0.70,10.0.0.22,26,tcp,telnet,SF,654,312,1,1,0.0,1.0,0.0,6,14,1,3,0,0,R2L
172.16.1.31,10.0.0.1,21,tcp,ftp_data,SF,2709,4102,1,5,0.0,0.98,0.03,23,91,1,0,0,0,Normal
192.168.1.58,10.0.0.22,30,tcp,http,SF,1153,3211,9,5,0.0,0.9,0.02,26,26,1,0,0,0,Normal
10.10.5.22,10.0.0.60,0,tcp,http,SF,2492,4944,14,4,0.0,0.96,0.03,37,72,1,0,0,0,Normal
192.168.1.128,10.0.0.5,0,icmp,api,REJ,4,0,424,295,0.94,0.97,0.01,255,4,0,0,0,0,DoS
10.0.0.104,10.0.0.1,103,tcp,telnet,SF,9228,6387,2,2,0.0,1.0,0.0,1,1,1,0,1,11,U2R
172.16.1.10,10.0.0.50,39,tcp,http,SF,5152,14044,9,6,0.0,0.95,0.04,28,15,1,0,0,0,Normal
10.10.5.38,10.0.0.60,43,tcp,ssl,SF,1732,3984,14,10,0.0,0.91,0.09,13,87,1,0,0,0,Normal
198.51.100.18,10.0.0.5,0,icmp,private,S0,0,0,211,217,0.9,0.97,0.02,255,10,0,0,0,0,DoS
198.51.100.21,10.0.0.5,0,tcp,eco_i,S0,55,0,329,228,0.89,0.96,0.03,255,3,0,0,0,0,DoS
192.168.1.35,10.0.0.50,30,tcp,ssl,SF,2294,6179,1,10,0.0,0.91,0.05,51,30,1,0,0,0,Normal
192.168.1.45,10.0.0.60,0,tcp,ftp_data,SF,5365,2093,4,15,0.0,0.94,0.0,47,43,1,0,0,0,Normal
172.16.1.15,10.0.0.8,22,tcp,domain,SF,436,16307,3,13,0.0,0.99,0.03,35,69,0,0,0,0,Normal
172.16.1.40,10.0.0.15,36,udp,http,SF,3156,3152,9,6,0.0,0.9,0.07,47,61,1,0,0,0,Normal
192.168.1.112,10.0.0.5,0,tcp,api,S0,0,0,365,511,0.89,0.93,0.03,255,14,0,0,0,0,DoS
172.16.0.70,10.0.0.15,83,tcp,ssh,SF,601,93,5,3,0.0,1.0,0.0,3,14,1,7,0,2,R2L
192.168.1.205,10.0.0.1,0,icmp,telnet,RSTR,47,0,116,4,0.37,0.22,0.88,162,2,0,0,0,0,Probe
198.51.100.18,10.0.0.5,0,icmp,private,RSTO,9,0,356,352,0.91,0.93,0.03,255,8,0,0,0,0,DoS
192.168.1.49,10.0.0.8,16,udp,ftp_data,SF,2186,7889,8,7,0.0,0.89,0.07,34,38,1,0,0,0,Normal
198.51.100.25,10.0.0.5,0,icmp,private,S0,27,0,499,370,0.9,0.97,0.01,255,11,0,0,0,0,DoS
192.168.1.21,10.0.0.60,41,udp,ftp_data,SF,3718,2206,10,13,0.0,0.96,0.05,36,68,1,0,0,0,Normal
10.0.0.88,10.0.0.1,181,tcp,private,SF,3912,6930,5,1,0.0,1.0,0.0,1,4,1,0,1,10,U2R
192.168.1.58,10.0.0.22,22,icmp,private,SF,2904,15629,5,15,0.0,0.98,0.04,20,57,0,0,0,0,Normal
192.168.1.103,10.0.0.5,0,tcp,api,S0,48,0,282,474,0.95,0.95,0.01,255,15,0,0,0,0,DoS
192.168.1.40,10.0.0.15,31,tcp,ssl,SF,2202,3956,13,5,0.0,0.98,0.0,50,62,1,0,0,0,Normal
192.168.1.42,10.0.0.22,17,tcp,http,SF,1497,2397,11,5,0.0,0.91,0.07,27,100,1,0,0,0,Normal
198.51.100.14,10.0.0.5,0,icmp,eco_i,S0,18,0,471,486,0.93,0.96,0.03,255,12,0,0,0,0,DoS
192.168.1.205,10.0.0.60,3,tcp,ssh,RSTO,39,0,54,3,0.56,0.03,0.85,181,2,0,0,0,0,Probe
192.168.1.13,10.0.0.15,21,tcp,ftp_data,SF,578,15407,6,4,0.0,0.86,0.04,13,34,1,0,0,0,Normal
192.168.1.112,10.0.0.5,0,tcp,eco_i,REJ,17,0,228,153,0.99,0.97,0.01,255,2,0,0,0,0,DoS
172.16.1.37,10.0.0.60,19,udp,smtp,SF,5090,15352,11,9,0.0,0.88,0.09,40,55,1,0,0,0,Normal
198.51.100.10,10.0.0.5,0,icmp,http,REJ,50,0,329,299,0.98,0.94,0.03,255,11,0,0,0,0,DoS
198.51.100.77,10.0.0.22,39,tcp,telnet,SF,454,152,10,3,0.0,1.0,0.0,3,6,0,6,0,1,R2L
192.168.1.127,10.0.0.5,0,tcp,api,S0,51,0,230,280,0.97,0.97,0.01,255,6,0,0,0,0,DoS
172.16.1.48,10.0.0.60,19,udp,domain,SF,5456,6342,13,12,0.0,0.85,0.05,45,37,0,0,0,0,Normal
192.168.1.125,10.0.0.5,0,tcp,api,S0,3,0,198,235,1.0,1.0,0.02,255,12,0,0,0,0,DoS
192.168.1.201,10.0.0.15,0,tcp,telnet,RSTO,23,0,79,2,0.26,0.03,0.66,239,5,0,0,0,0,Probe
192.168.1.201,10.0.0.60,2,udp,private,REJ,15,0,118,1,0.55,0.04,0.8,126,4,0,0,0,0,Probe
203.0.113.44,10.0.0.22,4,icmp,ssh,RSTO,20,0,77,2,0.16,0.06,0.69,194,8,0,0,0,0,Probe
172.16.0.99,10.0.0.12,1,tcp,domain,REJ,17,0,140,1,0.3,0.05,0.99,160,4,0,0,0,0,Probe
10.0.0.104,10.0.0.1,304,tcp,ssh,SF,6852,18971,3,3,0.0,1.0,0.0,6,5,1,0,1,9,U2R
10.10.5.18,10.0.0.50,13,udp,http,SF,4067,4533,14,3,0.0,0.95,0.06,30,64,1,0,0,0,Normal
192.168.1.54,10.0.0.60,20,udp,http,SF,989,11179,11,9,0.0,0.86,0.08,47,85,1,0,0,0,Normal
172.16.0.45,10.0.0.12,88,tcp,telnet,SF,935,541,1,6,0.0,1.0,0.0,15,11,0,3,0,1,R2L
172.16.0.99,10.0.0.50,2,tcp,domain,SH,69,0,74,2,0.21,0.06,0.98,159,4,0,0,0,0,Probe
192.168.1.48,10.0.0.8,33,udp,api,SF,4647,15269,13,14,0.0,0.89,0.08,22,98,1,0,0,0,Normal
192.168.1.115,10.0.0.5,0,icmp,http,RSTO,48,0,355,409,0.97,0.95,0.03,255,12,0,0,0,0,DoS
192.168.1.50,10.0.0.1,30,icmp,domain,SF,2441,17317,9,9,0.0,0.96,0.05,49,52,0,0,0,0,Normal
192.168.1.128,10.0.0.5,0,icmp,api,S0,11,0,502,412,0.96,0.96,0.01,255,12,0,0,0,0,DoS
172.16.1.41,10.0.0.15,4,tcp,domain,SF,4043,5989,11,7,0.0,0.97,0.09,29,65,0,0,0,0,Normal
192.168.1.126,10.0.0.5,0,icmp,http,S0,9,0,250,152,0.88,0.97,0.01,255,1,0,0,0,0,DoS
192.168.1.25,10.0.0.22,33,tcp,http,SF,3407,7277,7,15,0.0,0.89,0.08,44,71,1,0,0,0,Normal
192.168.1.27,10.0.0.15,43,tcp,ftp_data,SF,2542,7652,3,8,0.0,0.95,0.0,30,20,1,0,0,0,Normal
192.168.1.35,10.0.0.60,2,tcp,ftp_data,SF,1105,823,6,13,0.0,0.89,0.08,8,22,1,0,0,0,Normal
172.16.1.40,10.0.0.1,35,icmp,http,SF,2767,14860,3,7,0.0,0.99,0.02,41,99,1,0,0,0,Normal
172.16.1.23,10.0.0.12,28,icmp,ftp_data,SF,900,12163,5,14,0.0,0.92,0.01,9,49,1,0,0,0,Normal
172.16.1.46,10.0.0.5,1,icmp,http,SF,4306,8713,15,13,0.0,0.92,0.08,57,29,1,0,0,0,Normal
10.10.5.38,10.0.0.50,26,tcp,ssl,SF,709,11427,8,6,0.0,0.86,0.02,9,88,1,0,0,0,Normal
172.16.0.99,10.0.0.60,0,tcp,private,RSTR,80,0,118,2,0.55,0.18,0.91,198,4,0,0,0,0,Probe
172.16.1.31,10.0.0.60,37,tcp,http,SF,2900,5056,4,8,0.0,0.9,0.07,24,43,1,0,0,0,Normal
192.168.1.49,10.0.0.22,29,tcp,http,SF,3599,571,10,10,0.0,0.86,0.1,58,100,1,0,0,0,Normal
10.10.5.15,10.0.0.1,0,tcp,ssl,SF,3735,11042,5,3,0.0,0.93,0.06,33,73,1,0,0,0,Normal
172.16.1.14,10.0.0.5,4,tcp,domain,SF,506,12641,13,6,0.0,0.9,0.02,11,65,0,0,0,0,Normal
198.51.100.89,10.0.0.22,0,tcp,private,RSTR,0,0,122,3,0.2,0.06,0.97,184,3,0,0,0,0,Probe
192.168.1.108,10.0.0.5,0,tcp,eco_i,REJ,51,0,312,455,0.95,0.94,0.04,255,4,0,0,0,0,DoS
198.51.100.15,10.0.0.5,0,icmp,http,RSTO,8,0,255,228,0.94,0.94,0.04,255,11,0,0,0,0,DoS
192.168.1.103,10.0.0.5,0,icmp,api,RSTO,52,0,214,244,0.97,0.95,0.02,255,10,0,0,0,0,DoS
192.168.1.202,10.0.0.5,1,icmp,domain,RSTR,59,0,63,3,0.35,0.21,0.79,186,2,0,0,0,0,Probe
172.16.0.99,10.0.0.50,4,udp,finger,RSTR,67,0,168,1,0.43,0.12,0.74,129,2,0,0,0,0,Probe
192.168.1.118,10.0.0.5,0,tcp,api,S0,10,0,422,332,0.92,0.93,0.02,255,4,0,0,0,0,DoS
192.168.1.15,10.0.0.12,29,udp,ftp_data,SF,756,6748,2,5,0.0,0.91,0.04,32,48,1,0,0,0,Normal
192.168.1.26,10.0.0.12,43,udp,api,SF,4702,1014,2,13,0.0,0.94,0.01,55,53,1,0,0,0,Normal
192.168.1.38,10.0.0.15,45,icmp,private,SF,4578,11310,9,3,0.0,0.86,0.09,28,74,0,0,0,0,Normal
172.16.0.45,10.0.0.22,74,tcp,ssh,SF,896,249,11,2,0.0,1.0,0.0,15,8,1,6,0,2,R2L
172.16.1.45,10.0.0.60,9,tcp,http,SF,5920,5722,4,14,0.0,1.0,0.07,20,99,1,0,0,0,Normal
192.168.1.202,10.0.0.1,2,udp,other,SH,26,0,180,4,0.31,0.2,0.67,243,8,0,0,0,0,Probe
172.16.0.45,10.0.0.15,87,tcp,ftp,SF,231,154,1,3,0.0,1.0,0.0,13,14,0,8,0,0,R2L
198.51.100.22,10.0.0.5,0,tcp,private,RSTO,37,0,280,160,0.99,0.94,0.02,255,14,0,0,0,0,DoS
203.0.113.44,10.0.0.22,4,icmp,ssh,SH,82,0,135,1,0.27,0.08,0.93,220,1,0,0,0,0,Probe
172.16.1.40,10.0.0.60,36,tcp,smtp,SF,1892,3603,9,3,0.0,0.92,0.01,23,94,1,0,0,0,Normal
192.168.1.30,10.0.0.50,24,tcp,api,SF,2022,2994,2,9,0.0,0.92,0.07,17,22,1,0,0,0,Normal
198.51.100.30,10.0.0.5,0,tcp,eco_i,S0,22,0,403,278,0.98,0.93,0.02,255,14,0,0,0,0,DoS
192.168.1.58,10.0.0.15,23,icmp,http,SF,5209,8826,9,14,0.0,0.93,0.04,46,38,1,0,0,0,Normal
10.10.5.39,10.0.0.8,25,tcp,domain,SF,1311,5840,12,7,0.0,0.97,0.02,50,44,0,0,0,0,Normal
192.168.1.55,10.0.0.5,30,tcp,private,SF,2564,15829,12,1,0.0,0.95,0.04,51,69,0,0,0,0,Normal
192.168.1.100,10.0.0.5,0,tcp,api,REJ,34,0,204,470,0.99,0.94,0.01,255,5,0,0,0,0,DoS
198.51.100.89,10.0.0.1,3,udp,domain,RSTO,43,0,104,2,0.56,0.23,0.66,242,3,0,0,0,0,Probe
198.51.100.16,10.0.0.5,0,icmp,http,S0,21,0,423,345,0.99,1.0,0.04,255,14,0,0,0,0,DoS
192.168.1.41,10.0.0.50,33,udp,ftp_data,SF,4370,12298,3,15,0.0,0.88,0.07,59,97,1,0,0,0,Normal
203.0.113.102,10.0.0.15,51,tcp,ftp,SF,321,447,12,3,0.0,1.0,0.0,9,7,1,5,0,1,R2L
172.16.0.70,10.0.0.22,174,tcp,ssh,SF,423,508,12,1,0.0,1.0,0.0,8,6,0,7,0,2,R2L
192.168.1.10,10.0.0.22,3,udp,smtp,SF,5327,8498,13,1,0.0,0.99,0.02,25,21,1,0,0,0,Normal
172.16.1.11,10.0.0.60,22,tcp,private,SF,1433,5367,2,11,0.0,0.94,0.05,18,61,0,0,0,0,Normal
192.168.1.46,10.0.0.5,16,tcp,private,SF,2478,6832,13,3,0.0,0.98,0.03,57,48,0,0,0,0,Normal
198.51.100.15,10.0.0.5,0,tcp,private,RSTO,15,0,351,416,0.99,0.92,0.01,255,12,0,0,0,0,DoS
172.16.0.99,10.0.0.22,1,tcp,telnet,REJ,24,0,138,1,0.32,0.06,0.66,150,3,0,0,0,0,Probe
192.168.1.48,10.0.0.1,17,tcp,smtp,SF,5167,12311,6,8,0.0,0.98,0.05,51,92,1,0,0,0,Normal
172.16.0.99,10.0.0.15,0,udp,ssh,SH,93,0,72,4,0.43,0.22,0.75,181,3,0,0,0,0,Probe
172.16.1.14,10.0.0.60,6,icmp,domain,SF,513,13023,9,10,0.0,0.9,0.06,46,50,0,0,0,0,Normal
192.168.1.52,10.0.0.12,16,udp,domain,SF,4817,5773,7,14,0.0,0.93,0.01,58,75,0,0,0,0,Normal
10.10.5.32,10.0.0.50,29,tcp,ssl,SF,5424,12883,3,9,0.0,0.97,0.01,36,33,1,0,0,0,Normal
10.10.5.35,10.0.0.60,30,icmp,ftp_data,SF,3830,8308,12,5,0.0,0.91,0.02,35,26,1,0,0,0,Normal
192.168.1.117,10.0.0.5,0,tcp,http,S0,2,0,264,367,0.97,0.95,0.02,255,15,0,0,0,0,DoS
192.168.1.103,10.0.0.5,0,tcp,eco_i,REJ,19,0,205,166,0.99,0.98,0.01,255,13,0,0,0,0,DoS
198.51.100.30,10.0.0.5,0,icmp,private,RSTO,52,0,233,480,0.92,0.92,0.03,255,3,0,0,0,0,DoS
172.16.1.37,10.0.0.12,19,tcp,domain,SF,4438,10419,15,12,0.0,0.9,0.02,53,76,0,0,0,0,Normal
10.0.0.88,10.0.0.1,87,tcp,telnet,SF,9003,21899,4,2,0.0,1.0,0.0,2,1,1,0,1,9,U2R
172.16.1.46,10.0.0.15,45,tcp,domain,SF,3690,14811,5,8,0.0,0.97,0.09,19,34,0,0,0,0,Normal
10.0.0.88,10.0.0.1,141,tcp,telnet,SF,5348,9864,1,1,0.0,1.0,0.0,2,4,1,0,1,12,U2R
